"DATA INICIAL","DATA FINAL","PRODUTO","NÚMERO DE POSTOS PESQUISADOS","UNIDADE DE MEDIDA","PREÇO MÉDIO REVENDA","DESVIO PADRÃO REVENDA","PREÇO MÍNIMO REVENDA","PREÇO MÁXIMO REVENDA","MARGEM MÉDIA REVENDA","COEF DE VARIAÇÃO REVENDA","PREÇO MÉDIO DISTRIBUIÇÃO","DESVIO PADRÃO DISTRIBUIÇÃO","PREÇO MÍNIMO DISTRIBUIÇÃO","PREÇO MÁXIMO DISTRIBUIÇÃO","COEF DE VARIAÇÃO DISTRIBUIÇÃO",""
"3/24/2013","3/30/2013","GASOLINA COMUM","8666","R$/l","2.878","0.152","2.440","3.939","0.392","0.053","2.486","0.106","2.150","2.942","0.043",""
"3/24/2013","3/30/2013","GLP","7947","R$/13Kg","40.491","4.051","26.000","62.000","10.522","0.100","29.969","4.618","14.660","45.000","0.154",""
"3/24/2013","3/30/2013","GNV","500","R$/m3","1.786","0.169","1.399","2.599","0.433","0.095","1.353","0.161","0.952","1.940","0.119",""
"3/24/2013","3/30/2013","OLEO DIESEL","6608","R$/l","2.321","0.115","1.949","2.990","0.264","0.050","2.057","0.083","1.795","2.602","0.040",""
"3/24/2013","3/30/2013","OLEO DIESEL S10","1910","R$/l","2.412","0.119","2.120","3.050","0.266","0.049","2.146","0.082","1.889","2.570","0.038",""
"3/31/2013","4/6/2013","ETANOL HIDRATADO","8111","R$/l","2.061","0.238","1.580","3.160","0.269","0.115","1.792","0.226","1.369","2.513","0.126",""
"3/31/2013","4/6/2013","GASOLINA COMUM","8660","R$/l","2.880","0.152","2.390","3.939","0.398","0.053","2.482","0.107","2.150","2.942","0.043",""
"3/31/2013","4/6/2013","GLP","8044","R$/13Kg","40.546","4.095","27.000","62.000","10.620","0.101","29.926","4.685","14.660","45.000","0.157",""
"3/31/2013","4/6/2013","GNV","537","R$/m3","1.782","0.168","1.399","2.599","0.412","0.094","1.370","0.165","0.952","1.940","0.120",""
"3/31/2013","4/6/2013","OLEO DIESEL","6564","R$/l","2.327","0.115","1.899","3.020","0.269","0.049","2.058","0.083","1.764","2.602","0.040",""
"3/31/2013","4/6/2013","OLEO DIESEL S10","1977","R$/l","2.424","0.120","2.160","3.100","0.273","0.050","2.151","0.086","1.889","2.570","0.040",""
"4/7/2013","4/13/2013","ETANOL HIDRATADO","8110","R$/l","2.051","0.241","1.580","3.160","0.270","0.118","1.781","0.228","1.300","2.660","0.128",""
"4/7/2013","4/13/2013","GASOLINA COMUM","8657","R$/l","2.875","0.152","2.399","3.930","0.397","0.053","2.478","0.103","2.078","2.934","0.042",""
"4/7/2013","4/13/2013","GLP","8038","R$/13Kg","40.679","4.147","27.000","62.000","10.645","0.102","30.034","4.599","17.697","45.000","0.153",""
"4/7/2013","4/13/2013","GNV","518","R$/m3","1.783","0.169","1.399","2.599","0.421","0.095","1.362","0.160","0.952","1.940","0.117",""
"4/7/2013","4/13/2013","OLEO DIESEL","6534","R$/l","2.329","0.114","1.949","3.020","0.269","0.049","2.060","0.080","1.638","2.594","0.039",""
"4/7/2013","4/13/2013","OLEO DIESEL S10","2071","R$/l","2.424","0.125","2.179","3.100","0.264","0.052","2.160","0.091","1.710","2.638","0.042",""
"4/14/2013","4/20/2013","ETANOL HIDRATADO","8108","R$/l","2.059","0.237","1.599","3.160","0.264","0.115","1.795","0.222","1.369","2.660","0.124",""
"4/14/2013","4/20/2013","GASOLINA COMUM","8665","R$/l","2.876","0.151","2.410","3.930","0.399","0.053","2.477","0.102","2.078","2.950","0.041",""
"4/14/2013","4/20/2013","GLP","8039","R$/13Kg","40.800","4.109","27.000","62.000","10.779","0.101","30.021","4.622","17.200","45.000","0.154",""
"4/14/2013","4/20/2013","GNV","530","R$/m3","1.779","0.170","1.399","2.599","0.413","0.096","1.366","0.191","0.952","2.222","0.140",""
"4/14/2013","4/20/2013","OLEO DIESEL","6505","R$/l","2.333","0.115","1.980","3.020","0.273","0.049","2.060","0.086","1.713","2.690","0.042",""
"4/14/2013","4/20/2013","OLEO DIESEL S10","2138","R$/l","2.428","0.124","2.150","3.100","0.266","0.051","2.162","0.094","1.710","2.638","0.043",""
"4/21/2013","4/27/2013","ETANOL HIDRATADO","8081","R$/l","2.079","0.234","1.679","3.160","0.253","0.113","1.826","0.207","1.370","2.624","0.113",""
